iter	Passed	Remaining
403	8170	12053
404	8186	12026
405	8203	12002
406	8217	11972
407	8239	11955
408	8254	11927
409	8268	11898
410	8285	11873
411	8301	11847
412	8318	11823
413	8333	11795
414	8349	11769
415	8364	11742
416	8381	11717
417	8398	11693
418	8414	11668
419	8429	11641
420	8446	11615
421	8460	11588
422	8482	11570
423	8502	11550
424	8519	11525
425	8533	11498
426	8550	11474
427	8564	11445
428	8580	11421
429	8596	11395
430	8611	11369
431	8628	11345
432	8645	11320
433	8660	11294
434	8677	11271
435	8700	11255
436	8726	11242
437	8746	11222
438	8762	11197
439	8779	11173
440	8795	11148
441	8811	11124
442	8826	11098
443	8842	11072
444	8859	11050
445	8877	11027
446	8893	11002
447	8922	10993
448	8949	10982
449	8977	10972
450	9000	10956
451	9024	10941
452	9048	10926
453	9066	10904
454	9084	10881
455	9099	10856
456	9115	10831
457	9130	10805
458	9145	10779
459	9160	10754
460	9175	10728
461	9193	10706
462	9208	10680
463	9225	10656
464	9245	10637
465	9260	10611
466	9276	10587
467	9293	10564
468	9309	10540
469	9323	10513
470	9340	10490
471	9355	10465
472	9371	10440
473	9387	10416
474	9405	10396
475	9420	10370
476	9437	10347
477	9451	10322
478	9469	10299
479	9485	10275
480	9501	10252
481	9514	10225
482	9531	10202
483	9545	10176
484	9561	10153
485	9577	10129
486	9594	10107
487	9609	10082
488	9627	10060
489	9642	10036
490	9659	10013
491	9674	9989
492	9691	9966
493	9707	9943
494	9721	9918
495	9736	9893
496	9750	9867
497	9764	9842
498	9779	9818
499	9794	9794
500	9807	9768
501	9821	9743
502	9834	9717
503	9849	9692
504	9863	9668
505	9878	9644
506	9893	9620
507	9907	9595
508	9928	9577
509	9943	9553
510	9957	9528
511	9972	9504
512	9989	9482
513	10003	9458
514	10017	9433
515	10032	9410
516	10048	9387
517	10063	9364
