iter	Logloss	Accuracy
203	0.2406933299	0.8915885011
204	0.2406714843	0.8915960962
205	0.240601045	0.8916112862
206	0.2405706642	0.8916340713
207	0.2405077391	0.8916036912
208	0.2404744211	0.8917631869
209	0.2404020401	0.8917479968
210	0.2403644197	0.8917707819
211	0.2403176719	0.8917404018
212	0.2402598881	0.8917328067
213	0.2401902355	0.8918239471
214	0.2401494227	0.8918163521
215	0.2401007311	0.891785972
216	0.2400649428	0.8918467322
217	0.2400325225	0.8918998975
218	0.2399944553	0.8918695173
219	0.239938856	0.8918391372
220	0.2399039591	0.8919074925
221	0.2398449384	0.8918847074
222	0.2398041593	0.8919074925
223	0.239752814	0.8919454677
224	0.2396730385	0.8919074925
225	0.239604803	0.8919834428
226	0.2395546035	0.892013823
227	0.2395140072	0.8921353435
228	0.2394861638	0.8921581286
229	0.2394442029	0.8921733186
230	0.2393945255	0.8922112938
231	0.2393176463	0.892256864
232	0.2392898476	0.892264459
233	0.2392170479	0.8922872441
234	0.2391822779	0.892256864
235	0.2391404442	0.8922720541
236	0.2391097381	0.892256864
237	0.2390631586	0.8922720541
238	0.2390020007	0.892249269
239	0.2389688233	0.8922264839
240	0.2389366418	0.8922872441
241	0.2388992745	0.8922720541
242	0.2388726236	0.8923024342
243	0.2388374207	0.8923783845
244	0.2387851141	0.8924467398
245	0.238709834	0.89247712
246	0.2386750151	0.89247712
247	0.2386414167	0.8924999051
248	0.2386084747	0.8925454753
249	0.2385869557	0.8925226902
250	0.2385595187	0.8925682604
251	0.2385170777	0.8925834504
252	0.238466214	0.8925606653
253	0.23843774	0.8925530703
254	0.2383988413	0.8926897809
255	0.2383551223	0.8926973759
256	0.2383109961	0.8926745908
257	0.2382595544	0.8927049709
258	0.2382103569	0.8927049709
259	0.23818043	0.892712566
260	0.2381376483	0.892712566
261	0.2380816503	0.8927353511
262	0.2380504026	0.8928340865
263	0.2380049393	0.8928113014
264	0.2379779086	0.8928340865
265	0.2379351416	0.8928568716
266	0.237903394	0.8928872517
267	0.2378696382	0.8930391524
268	0.2378289644	0.8930847226
269	0.2378024855	0.8930771276
270	0.2377680481	0.8930087723
271	0.2377289789	0.8930315574
272	0.2376888966	0.8930315574
273	0.2376490949	0.8931075077
274	0.2376237075	0.8931606729
275	0.2375998941	0.893168268
276	0.2375753425	0.8931910531
277	0.2375521693	0.8932366232
278	0.2375179581	0.8932518133
279	0.2374086799	0.8933581438
280	0.2373749522	0.8933733338
281	0.2373421175	0.8933961189
282	0.2372926026	0.8934264991
283	0.2372495135	0.8934720693
284	0.2372084945	0.8935935898
285	0.2371642399	0.8935859948
286	0.2371285632	0.8936163749
287	0.2370381702	0.8936923252
288	0.2369945302	0.893631565
289	0.236963556	0.8936163749
290	0.2369265068	0.893631565
291	0.2368770666	0.8936619451
292	0.2368477789	0.8936771352
293	0.2368172088	0.8937227054
294	0.2367714369	0.8937530855
295	0.2367358882	0.8938214408
296	0.2367042384	0.893874606
297	0.2366683852	0.8937910606
298	0.2366355704	0.8938138457
299	0.2366011287	0.8937986557
300	0.2365793456	0.893867011
301	0.2365470309	0.8939125812
302	0.2364984839	0.8939353663
303	0.2364094608	0.8939733414
304	0.2363796353	0.8940265067
305	0.2363588963	0.8940644818
306	0.2363217587	0.8940341017
307	0.2362692424	0.8940416967
308	0.2362304716	0.8940341017
309	0.236188041	0.894094862
310	0.2361515139	0.8941328371
311	0.2361129374	0.894102457
312	0.2360815319	0.8941176471
313	0.2360378048	0.8941708123
314	0.2360032268	0.8942011924
315	0.2359532862	0.8942391676
316	0.2359244303	0.8942391676
317	0.2358825128	0.8942543577
318	0.2358477901	0.8942847378
319	0.2358115935	0.8943151179
320	0.2357712266	0.8943151179
321	0.2357461544	0.894345498
322	0.2357301468	0.894337903
323	0.2357046957	0.894345498
324	0.2356838747	0.894337903
325	0.235664182	0.8943682831
326	0.2356188341	0.8944062583
327	0.2355921043	0.8943986633
328	0.2355474479	0.8944214484
329	0.2355083292	0.8943910682
330	0.2354679044	0.8944366384
331	0.2354428179	0.8944214484
332	0.2354155222	0.8944214484
333	0.23539426	0.8943682831
334	0.2353694564	0.8944138533
335	0.2353391412	0.8944594235
336	0.2352961044	0.8944366384
337	0.2352509825	0.8943986633
338	0.2352299003	0.8943910682
339	0.2351811097	0.8944594235
340	0.2351301283	0.8945201838
341	0.2350888715	0.894558159
342	0.2350530403	0.8946341093
343	0.2350266838	0.8946341093
344	0.2349900091	0.8946492994
345	0.2349580947	0.8947024646
346	0.2349355175	0.8947328447
347	0.2348477196	0.8947252497
348	0.2348222237	0.8947404398
349	0.2347905513	0.8947708199
350	0.2347606891	0.8947708199
351	0.2347111153	0.8948923404
352	0.2346839377	0.8948543652
353	0.2346581093	0.8948923404
354	0.2346305797	0.8949075305
355	0.2346037847	0.8949227205
356	0.234577511	0.8949227205
357	0.2345540582	0.8948619603
358	0.2345218536	0.8948543652
359	0.2344916352	0.8948771503
360	0.2344501074	0.8949379106
361	0.2344161121	0.8949682907
362	0.234357436	0.8949910758
363	0.2343225324	0.8949834808
364	0.2342826039	0.8950518361
365	0.2342537751	0.8949986709
366	0.2342191035	0.895036646
367	0.2341845999	0.8951050013
368	0.2341316693	0.8950670262
369	0.2340843116	0.8951125964
370	0.234004751	0.895249307
371	0.23398306	0.895249307
372	0.2339348719	0.8953100672
373	0.233914938	0.8953176622
374	0.2338807473	0.8953632324
375	0.2338441284	0.8953632324
376	0.2338103826	0.8953556374
377	0.2337859381	0.8953936126
378	0.2337397068	0.8953936126
379	0.2337219473	0.8954543728
380	0.2336904153	0.8954163977
381	0.2336696087	0.8955075381
382	0.2336418842	0.8954391828
383	0.2336150392	0.8954163977
384	0.2335907452	0.8954163977
385	0.2335669689	0.8955075381
386	0.2335399426	0.8954543728
387	0.2335132758	0.8955379182
388	0.2334867862	0.8955531083
389	0.2334612824	0.8955834884
390	0.2334385945	0.8956062735
391	0.2333986295	0.8956822238
392	0.233370617	0.8956442487
393	0.2333300513	0.8956442487
394	0.2333033349	0.8956898189
395	0.2332812024	0.895720199
396	0.2332510725	0.8957353891
397	0.2332195646	0.8957505791
398	0.2331932309	0.8957657692
399	0.233143542	0.8957809593
400	0.2331094643	0.8957961493
401	0.2330802195	0.8957961493
402	0.2330518163	0.8958037444
403	0.2330073812	0.8958569096
404	0.2329525513	0.895955645
405	0.232924182	0.8959784301
406	0.2329077551	0.8960240003
407	0.2328835889	0.8960467854
408	0.232847246	0.8961531159
409	0.2328134865	0.8961455208
410	0.2327934085	0.8962138761
411	0.2327515276	0.8961986861
412	0.2327116398	0.8962062811
413	0.2326907904	0.8962138761
414	0.2326294497	0.8962062811
415	0.2325701373	0.8962746364
416	0.2325479003	0.8962290662
417	0.2325311101	0.8961986861
418	0.2325012257	0.8962822314
419	0.2324708367	0.8962290662
420	0.2324403277	0.8963126116
421	0.2324171695	0.8963126116
422	0.2323898665	0.8963202066
423	0.2323198791	0.8964037519
424	0.2323023458	0.896411347
425	0.2322646104	0.8964037519
426	0.2322423537	0.896411347
427	0.232216243	0.8964417271
428	0.2321940552	0.8964645122
429	0.2321396239	0.8963961569
430	0.232112062	0.8964417271
431	0.2320748527	0.8964797023
432	0.2320415856	0.8964569172
433	0.2320095124	0.8965024874
434	0.2319912918	0.8965024874
435	0.2319455617	0.8965252725
436	0.231900832	0.8965860327
437	0.2318741461	0.8965480576
438	0.231832844	0.8965024874
439	0.2318021897	0.8965860327
440	0.2317784722	0.8966164129
441	0.2317480936	0.8966316029
442	0.2317187828	0.896639198
